country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
France,HIC,"46,110",32,10,3,26,20,9,NA,NA,NA,NA,Yes,Yes,Yes,NA,67059888,11304163,236301207,2218682,10783405,NA,4867183,36748820,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,17.26,NA,34.7,25.76,NA,NA,22.26,NA,0.02,NA,NA
Faeroe Islands,HIC,"44,403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,48842,NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,33,NA,NA
"Micronesia, Fed. Sts.",LMC,"3,440",23.83,7.07,16.73,9.32,13.3,26.17,3.58,NA,NA,NA,Yes,Yes,None,NA,104937,NA,NA,200,NA,NA,73.47,26039.57,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,UMC,"18,515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1086137,NA,NA,14000,NA,NA,NA,238102.31,NA,NA,3.8,NA,NA,NA,23.6,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,HIC,"46,290",16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,Yes,Yes,Yes,No,NA,66460344,10365788,156803699,3584126,5755258,NA,4218205,30771140,NA,NA,NA,NA,NA,NA,NA,97.43,NA,NA,NA,NA,NA,16.23,NA,31.38,22.568,NA,NA,27.25,NA,2.572,NA,NA
Georgia,LMC,"12,605",39,3,5,16,34,3,NA,NA,NA,No,No,Yes,NA,NA,3717100,NA,NA,21000,NA,NA,NA,800000,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,LMC,"3,093",67,0,1,25,3,4,NA,NA,NA,NA,Yes,Yes,Yes,NA,21542008,NA,NA,39000,NA,NA,NA,3538274.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibraltar,HIC,"43,712",24.57,4.42,4.37,14.38,33.65,15.86,NA,NA,NA,NA,Yes,Yes,Yes,Yes,33623,NA,30000,201.44,58995.04,NA,NA,16954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,LIC,"1,623",58,1,1,27,9,4,NA,NA,NA,NA,NA,Yes,Yes,NA,8132552,NA,NA,8000,NA,NA,NA,596911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,NA,NA
"Gambia, The",LIC,"2,181",35,1.9,2.1,51.4,9.7,NA,NA,NA,NA,NA,Yes,Yes,No,NA,1311349,NA,NA,2200,NA,NA,NA,193440.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,LIC,"1,800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770526,NA,NA,1000,NA,NA,NA,289514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,UMC,"24,827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221490,NA,NA,NA,NA,NA,NA,198443.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,HIC,"30,465",40,3,3,9,29,14,2,NA,NA,No,Yes,Yes,Yes,Yes,10716322,575225,59985396,188460,221041,NA,251623,5615352.5,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,80,NA,1,19,NA,NA,NA,NA
Grenada,UMC,"13,208",27.1,3.1,2.4,36.5,13.6,16.4,0.9,NA,NA,Yes,Yes,Yes,Yes,NA,105481,NA,NA,800,NA,NA,NA,29536.11394,NA,NA,NA,NA,NA,98.3,NA,NA,NA,NA,NA,NA,NA,0.2,98.3,NA,NA,NA,1.5,NA,NA,NA,NA,Disposal Site
Greenland,HIC,"43,949",42.8,7.1,2,33.4,11.4,2.4,NA,1,NA,NA,NA,Yes,No,NA,56905,NA,NA,NA,730,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,NA,NA,NA,NA,NA,NA,NA
Guatemala,UMC,"8,125",37.71449118,4.39183558,NA,18.01847364,16.04670215,17.29080875,NA,NA,6.537688691,NA,NA,No,Yes,NA,16252429,NA,NA,55000,10051,NA,818.6,2756740.971,NA,NA,NA,NA,NA,NA,77.7,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,69.8,NA,NA,15.4,5.2,NA,NA
Guam,HIC,"59,075",27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,NA,NA,Yes,Yes,Yes,Yes,159973,NA,NA,NA,NA,NA,NA,141500,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,17.85,64,18.15,NA,NA
Guyana,UMC,"9,812",50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,NA,No,Yes,No,No,No,746556,NA,NA,5000,741.78,NA,NA,179251.5,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37,NA,NA,0.54,NA,38.09,NA,Other
"Hong Kong SAR, China",HIC,"57,216",35,3,2,14,22,21,NA,3,NA,Yes,Yes,Yes,Yes,Yes,7305700,NA,1533000,70000,54812,NA,2268,5679816.465,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA,NA
Honduras,LMC,"5,396",57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,No,NA,Yes,Yes,NA,9112867,NA,NA,1700,253.14,NA,NA,2162027.696,NA,NA,NA,NA,NA,NA,64.6,NA,NA,NA,NA,NA,NA,NA,59.9,NA,NA,15,NA,NA,11.3,13.8,NA,NA
Croatia,HIC,"28,829",30.9,3.7,2.1,11.5,23.2,22.9,NA,NA,5.7,Yes,Yes,Yes,Yes,NA,4067500,395664,805354,58078,130326,NA,56814,1810037.5,NA,NA,NA,NA,NA,NA,NA,97.76,NA,NA,NA,NA,NA,1.69,NA,NA,79.75,NA,NA,16.32,NA,2.24,NA,NA
Haiti,LIC,"2,953",61.3,1.6,2.5,16.8,4.1,12.7,NA,1,NA,No,No,No,No,No,10847334,NA,NA,6000,NA,NA,NA,2309852.455,NA,0.4,NA,NA,NA,12.4,NA,NA,NA,NA,23.8,NA,NA,NA,9.94,NA,NA,NA,NA,NA,NA,90.06,NA,Source
Hungary,HIC,"32,643",22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,9769949,699238,7605276,50066,596554,NA,489182,3780970.25,NA,NA,NA,NA,NA,NA,NA,99.94,NA,NA,NA,NA,NA,6.22,NA,14.14,53.64,NA,NA,25.94,NA,0.06,NA,NA
Indonesia,LMC,"10,531",53.8,2.5,1.8,12.9,14.9,14,NA,NA,NA,NA,Yes,Yes,Yes,NA,261115456,122000000,NA,1274000,23000000,NA,82125,65200000,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,10,14,7,NA,NA,NA,NA
Isle of Man,HIC,"44,204",NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,80759,NA,122965,NA,NA,48783,NA,50551,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,50,NA,NA,NA,NA
India,LMC,"6,497",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,1352617344,NA,27500000,1700000,7467000,NA,180784.5,189750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.19,NA,18,NA,NA,NA,77,NA,5,NA,NA,NA,NA
Ireland,HIC,"83,389",16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,NA,Yes,Yes,Yes,Yes,4867316,554285,7898378,212874,482907,NA,776112,2910655,NA,NA,NA,NA,NA,NA,NA,92.04,NA,NA,NA,NA,NA,6,41,17,NA,NA,2,33,NA,1,NA,NA
"Iran, Islamic Rep.",UMC,"14,536",72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,NA,No,Yes,Yes,Yes,No,80277424,16049000,80000000,630000,8000000,30000000,1609650,17885000,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,0.3,12,10,0.4,NA,72,NA,5,NA,0.3,NA,Source
Iraq,UMC,"10,311",68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,No,No,No,NA,NA,36115648,NA,NA,221000,20622,NA,NA,13140000,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Source
Iceland,HIC,"55,274",10,NA,NA,NA,38,9,NA,29,14,NA,Yes,Yes,No,Yes,343400,5000,1000,7600,7000,10000,NA,225270.4063,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,2.86,NA,1.9,30.29,NA,9.14,55.81,NA,NA,NA,NA
Israel,HIC,"37,688",34,3,3,16,24,18,NA,NA,2,NA,Yes,Yes,NA,Yes,8380100,NA,7000000,120000,321000,NA,NA,5400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,25,NA,NA,NA,NA
Italy,HIC,"42,420",34.4,7.6,4.3,15.4,22.8,11.6,NA,3.8,NA,Yes,Yes,Yes,No,NA,60297396,6921585,61938678,2800026,8923548,NA,16071024,30088400,NA,NA,NA,NA,NA,NA,NA,88.92,NA,NA,NA,NA,NA,17.6,NA,19,26.48,NA,NA,25.9,NA,11.02,NA,NA
Jamaica,UMC,"9,551",62.22,2.81,2.38,5.13,14.73,12.2,NA,0.53,NA,Yes,Yes,Yes,Yes,Yes,2881355,NA,NA,17000,10000,NA,206.58,1051694.575,NA,28,NA,NA,NA,63.99,76,NA,NA,67,NA,NA,NA,NA,64,NA,NA,NA,29,NA,NA,7,NA,Source
Jordan,UMC,"10,413",50,2,1.5,15.5,15,16,NA,NA,NA,NA,No,Yes,Yes,NA,8413464,4000000,NA,43000,1230441,45000,4000,2529997,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,48,45,NA,7,NA,NA,NA,Disposal Site
Japan,HIC,"41,310",36,5,4,6,33,11,1,4,NA,Yes,No,Yes,Yes,NA,126529104,35109000,72690000,518978,3600000,392840000,320000,42720000,NA,NA,NA,NA,NA,NA,99.9,NA,NA,NA,NA,NA,0.1,0.4,1.1,80.2,NA,NA,13.3,4.9,NA,NA,NA,Source
Kazakhstan,UMC,"22,703",30,5,3,7,25,25,NA,2.5,NA,No,Yes,Yes,Yes,No,16791424,NA,NA,147000,NA,NA,NA,4659740,NA,NA,25,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,NA,2.92,NA,36.98,NA,Disposal site
Kenya,LMC,"3,330",57,3,1,9,11.3,18.7,NA,NA,NA,NA,NA,Yes,NA,NA,41350152,NA,NA,17350,NA,NA,909182,5595099,NA,NA,NA,NA,NA,NA,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,92,NA,NA
Kyrgyz Republic,LMC,"4,805",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,NA,5956900,17900,3600,7200,4771346,NA,NA,1113300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
Cambodia,LMC,"3,364",66.6,2.6,2,10.4,4,8.6,NA,5.8,NA,No,Yes,Yes,Yes,NA,15270790,NA,NA,14000,NA,NA,147.09,1089000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,82.5,NA,NA
Kiribati,LMC,"2,250",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,No,NA,114395,NA,NA,100,NA,766.5,16.22,35723.8275,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Kitts and Nevis,HIC,"25,569",27.2,8.1,8.8,12.2,20.5,23.2,NA,NA,NA,Yes,Yes,Yes,No,Yes,54288,NA,NA,700,NA,NA,NA,32892.14,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,Disposal site
"Korea, Rep.",HIC,"42,105",30,2.5,2.6,NA,41,24.3,NA,NA,NA,Yes,Yes,Yes,Yes,NA,51606632,NA,68119600,570635,NA,39810000,NA,20452776,NA,NA,NA,NA,NA,NA,99.92,99.9,NA,NA,NA,NA,NA,1,NA,25,16,NA,NA,58,NA,NA,NA,NA
Kuwait,HIC,"58,810",45,4,2,8,20,20,NA,1,1,No,Yes,Yes,NA,NA,2998083,NA,1149000,67000,203000,7000,33000,1750000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
Lao PDR,LMC,"6,544",16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,None,Yes,Yes,Yes,NA,6663967,NA,NA,7500,5200,49500,1200,351900,NA,NA,NA,35,NA,NA,NA,55,NA,NA,NA,60,NA,NA,30,NA,NA,60,NA,10,NA,NA,NA,At disposal site
Lebanon,UMC,"16,967",52.5,3.5,5.5,11,16,11.5,NA,NA,NA,No,Yes,No,No,No,5603279,NA,NA,51000,46000,NA,5568,2040000,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,15,48,NA,NA,29,NA,8,NA,NA,NA,Source
Liberia,LIC,"1,333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,3512932,NA,NA,NA,NA,NA,NA,564466.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,UMC,"8,480",70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,No,Yes,No,NA,NA,6193501,NA,3641150,70000,NA,NA,NA,2147596.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lucia,UMC,"14,030",45,7,5,11,10,22,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,177206,NA,NA,1600,2732,NA,49.63,77616.228,NA,NA,NA,NA,NA,96.8,100,NA,NA,NA,NA,NA,NA,0.1,96.8,NA,NA,NA,2.6,NA,NA,0.5,NA,Disposal site
Liechtenstein,HIC,"45,727",37.6,5,12.5,9.1,30.3,5.4,NA,NA,NA,NA,Yes,Yes,No,NA,36545,2612,513728,293,1204,NA,127,32382,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6,NA,35.4,NA,NA
Sri Lanka,LMC,"12,287",62,2,3,13,7,7,NA,6,NA,Yes,Yes,Yes,No,Yes,21203000,NA,65700,72.5,NA,53000,9855,2631650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,85,NA,12.79,NA,NA,NA,Databases
Lesotho,LMC,"1,979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965662,NA,NA,1800,NA,NA,NA,73457,NA,0.97,NA,NA,NA,4.22,20,NA,NA,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,HIC,"37,278",40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,No,Yes,Yes,Yes,NA,2786844,551038,3011590,82691,165477,NA,70124,1315390.375,NA,NA,90,NA,NA,NA,NA,98.69,NA,NA,96,NA,NA,10.15,NA,11.54,54,NA,NA,22.92,NA,1.39,NA,NA
Luxembourg,HIC,"114,323",30,4,2,27,19,18,NA,NA,NA,Yes,Yes,Yes,No,NA,619896,95427,6272673,7398,237180,NA,47825,490337.75,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,19.66,NA,33.99,17.7,NA,NA,28.37,NA,0.28,NA,NA
Latvia,HIC,"30,982",46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,NA,Yes,Yes,Yes,Yes,1912789,105480,671423,25071,104142,NA,65624,839714.375,NA,NA,NA,NA,NA,NA,NA,84.36,NA,NA,NA,NA,NA,5.48,NA,NA,57.64,NA,NA,21.23,NA,15.65,NA,NA
"Macao SAR, China",HIC,"117,336",3.1,3.3,1.7,3.1,58.7,7.9,NA,22.3,NA,Yes,Yes,Yes,Yes,Yes,612167,NA,52000,11000,3118,NA,11493,377942,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,80,NA,NA
St. Martin (French part),HIC,"30,386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,30959,NA,NA,NA,NA,NA,NA,15479.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,LMC,"6,915",60,2,2.5,6,9,8,NA,NA,NA,No,No,Yes,Yes,Yes,34318080,NA,7000000,30300,289385,1599710.62,21000,6852000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,1,NA,NA,NA,52,2,8,37,NA,NA,Disposal site
Monaco,HIC,"43,712",NA,3,2.2,NA,2.2,1,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,37783,NA,NA,NA,312.07,NA,NA,46000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,5.4,NA,9.6,NA,NA
Moldova,LMC,"10,361",55,4,3,23,5,10,NA,NA,NA,No,Yes,Yes,Yes,Yes,3554108,NA,1400000,6300,418,2841700,15700,3981200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.08,NA,15.32,NA,49.6,NA,Other
Madagascar,LIC,"1,566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,24894552,NA,NA,14000,45957,NA,NA,3768759.16,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,96.7,NA,NA,NA,NA,NA,NA
Maldives,UMC,"17,285",24,NA,1,1,6,3,NA,NA,65,No,Yes,Yes,No,Yes,409163,NA,6161.2,3003.95,15105.525,NA,1737.4,211505.78,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,7,NA,6,NA,NA,24,NA,NA,NA,63,Ministry forecast
Mexico,UMC,"19,332",52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,Yes,NA,Yes,Yes,NA,125890952,NA,6000000,957900,18172.49,NA,978.06,53100000,NA,NA,NA,NA,NA,NA,NA,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,5,74.5,NA,NA,NA
Marshall Islands,UMC,"3,629",8,2,6,31,11,13,NA,NA,29,NA,Yes,Yes,None,NA,52793,NA,NA,NA,NA,NA,43.16,8614,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,66,NA,NA,6,NA,NA,NA,NA,NA,30.8,NA,63.2,NA,NA
"Macedonia, FYR",UMC,"16,148",29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,Yes,Yes,Yes,Yes,NA,2082958,91933,121551,1220,40797,NA,951293,626970.375,NA,NA,NA,NA,NA,NA,73,76.61,NA,NA,NA,NA,NA,0.1,NA,NA,99.72,NA,NA,0.18,NA,NA,NA,Disposal Site
Mali,LIC,"2,008",17.5,1,3.5,72.5,3.5,2,NA,NA,NA,NA,NA,NA,Yes,NA,16006670,NA,NA,12000,NA,NA,NA,1937354.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,HIC,"43,708",52,6,4,9.5,18,12,NA,NA,NA,Yes,Yes,Yes,Yes,NA,502653,16607,1258426,7643,36523,106235,23418,348841.1875,NA,NA,NA,NA,NA,NA,NA,96.65,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,6.69,89.59,3.35,NA,NA
Myanmar,LMC,"1,094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,46095464,NA,NA,55000,NA,54750,648.2,4677306.529,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,92,NA,Household
Montenegro,UMC,"20,753",33.82,8.97,2.9,19.46,13.72,18.42,NA,2.7,NA,Yes,Yes,Yes,No,NA,622227,NA,92228,6200,3819.21,453791.52,2331.4,329780.3125,NA,NA,NA,NA,NA,NA,75.9,96.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.57,NA,5.42,NA,3.01,NA,NA
Mongolia,LMC,"10,940",22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,NA,NA,Yes,Yes,NA,3027398,NA,126300,14000,NA,81400,967.25,2900000,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,93.5,NA,NA,NA,6.5,NA,NA
Northern Mariana Islands,HIC,"60,956",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,NA,Yes,54036,NA,NA,NA,NA,NA,NA,32761.4145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,64,NA,NA
Mozambique,LIC,"1,217",60,NA,NA,15,25,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,27212382,NA,NA,17000,NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA
Mauritania,LMC,"4,784",4.8,4,4.2,59.7,7.3,20,NA,NA,NA,NA,NA,Yes,No,NA,3506288,NA,NA,5100,NA,NA,NA,454000,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,37.3,NA,NA,54.7,NA,8,NA,NA,NA,NA
Mauritius,UMC,"20,647",64,2.8,NA,8,13,12.4,NA,NA,NA,NA,NA,Yes,Yes,NA,1263473,NA,NA,11000,17000,NA,NA,438000,NA,NA,NA,NA,NA,NA,98,83.73150685,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
Malawi,LIC,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16577147,NA,NA,9500,NA,NA,NA,1297844.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,UMC,"23,906",46,3,3,9,14,15,3,7,NA,No,Yes,Yes,Yes,Yes,30228016,42000000,NA,280000,2918478,831835,19500,12982685,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,1,NA,NA,71.5,NA,NA,17.5,10,NA,NA,Landfill
Namibia,UMC,"6,153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559983,NA,NA,14000,NA,NA,NA,256729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,95.5,NA,NA
